gas_age_ce,mean_concentration_ppb
1780.7,729.443791
1771.2,727.5369874
1763.2,716.8045869
1754.1,712.6195099
1745.5,704.18793
1736.5,701.231486
1727.6,691.8949652
1718.7,690.060962
1709.5,686.7783221
1700.8,687.7795164
1691.9,691.5150871
1683.2,700.167331
1674.4,697.8341166
1665.4,695.1016137
1656.7,686.0552913
1647.8,689.0712954
1639.4,694.284638
1630.2,696.0096384
1621.2,691.5163346
1612.3,686.0823849
1608.5,689.4375126
1603.6,683.1495569
1599.7,685.0030072
1594.5,683.544271
1591.3,683.6358501
1585.7,685.8527333
1581.3,686.561686
1577.1,694.0964758
1572.8,696.0401616
1568,707.8982795
1564,711.5775442
1559.2,716.7364659
1555.3,717.7403504
1545.9,721.3252207
1532.2,714.785252
1523.5,715.1844224
1514.3,709.8651575
1505.8,706.8563537
1496.6,698.3427043
1487.6,686.4910596
1478.5,685.7918807
1469.7,679.1740248
1460.9,680.3607622
1451.8,682.8273439
1442.6,682.0662863
1433.8,680.5532656
1425.1,679.3028946
1416.2,676.2021294
1407.3,677.8179365
1398.5,683.4975746
1389.7,684.627027
1380.9,689.4138427
1371.8,685.7148719
1363,682.4082362
1353.9,679.3614251
1345.1,679.448857
1335.9,681.6558866
1327.3,683.458113
1318.1,689.2757098
1309.2,690.0924749
1300.3,691.1626506
1291.7,683.5304997
1282.6,678.78253
1273.7,679.0453105
1264.3,680.5529328
1255.9,675.1249042
1247.1,677.9352003
1238.5,677.8062484
1230,679.5092676
1221.1,677.7340458
1212.1,681.3899987
1203.4,687.4103601
1194.8,695.0241432
1186.1,693.7497343
1177.2,692.2691905
1168.3,692.379345
1159.6,692.9647125
1150.8,691.8259326
1142.1,689.2296617
1141.5,690.1732271
1133.3,688.6895819
1132.7,685.66874
1125,683.7492396
1116.2,684.8965742
1107.7,686.9954448
1099.3,686.0984289
1090.5,685.8484742
1082,677.5075407
1073.6,673.9066349
1065.1,669.686262
1056.5,685.0512705
1048,684.2366096
1039.5,687.3307552
1031.3,686.6960469
1022.4,686.2699238
1014.2,677.074813
1005.7,671.4324671
1005,668.5972489
996.8,667.1106818
988.4,670.4227561
979.9,662.2509065
971.2,663.8702295
961.9,667.0630532
953.9,658.5028025
945.2,656.7005188
944.6,652.8715462
940,652.0001117
936.4,648.8703045
935.9,650.0846478
927.7,659.3873233
919.2,657.8189637
910.4,656.9812639
901.6,653.1372531
892.7,652.4318204
884.1,654.6403486
875.3,660.0667048
866.7,657.3899272
858,659.1309066
849.5,649.2397165
840.7,647.7144478
832,646.469165
824,650.0064252
815.1,648.0682923
806.8,640.6108092
798,629.8316977
789.7,627.3842865
781.3,629.9424273
772.9,627.6269469
763.7,627.4162144
755.8,638.7943686
747.5,650.9830741
739.4,652.5167549
730.6,656.6453367
722,656.8283286
713.5,651.844467
705,648.9266553
696.4,644.0955399
688.2,641.8475253
679.7,641.397219
671.2,640.9784788
662.8,637.1889966
654.3,640.4749604
645.8,631.9412177
637.4,630.2374043
633.4,638.7392627
620.8,642.8649618
611.6,653.0005121
603.6,653.9987866
595.2,657.0837148
586.4,661.3571112
577.2,663.996344
569.7,662.452937
561,658.9268826
552.5,655.3912385
545.7,656.6147123
535.8,651.0258241
527.3,642.1649183
518.9,638.3292317
510.5,637.2576793
502.1,641.1817027
493.4,641.0297055
486.2,642.1850627
476.8,638.3905933
468.3,633.0089912
459.9,631.997316
451.4,633.5363123
443.3,633.3118729
435.7,633.2568115
425.6,629.376712
417.1,626.9676327
408.1,624.8303016
400,626.7202257
391.1,635.1871401
382.3,635.8090037
374.2,636.1909111
364.8,640.2370721
356.1,640.0396195
347.4,642.4477985
338.7,643.2898473
329.6,640.4667442
320.7,643.8585608
316.9,638.7816505
311.8,634.4142841
307.9,636.8576477
303.5,637.5058373
294,638.6488273
285.2,644.1195254
276.2,647.3409283
267,651.3782046
257.9,646.4438103
249.6,648.0481706
239.9,646.3484546
230.9,643.650971
221.2,642.4437438
213.3,640.2978788
204.2,640.7744478
195.5,635.7944931
186.1,637.5153935
177.4,641.6133306
173.6,639.9159528
168.5,642.8941821
165.6,643.0633702
164.5,640.4258829
159.5,639.2297698
152.6,637.3481663
143.5,637.0845245
133,641.2554736
124.2,645.2696629
115.3,641.2075762
106.4,643.2472326
96.6,637.2912122
88.8,633.3216319
80.2,632.1754851
70.8,623.7611739
62.5,620.5606763
54.2,617.4800012
44.9,615.323139
36,619.6702858
27.3,615.7446808
18.2,609.4670125
9.1,614.859767
-1,623.9422707
-9.1,628.2421528
-13,632.5412754
-18.1,633.18415
-22.5,632.3939323
-27.3,630.4391588
-31.9,629.5114283
-36.4,625.4772669
-45.5,616.637766
-54.5,616.3557885
-63.4,614.9506487
-67.6,612.2967732
-72.4,619.8252942
-81.8,618.6755881
-90.6,616.7188674
-99.6,615.5763412
-109.5,614.7241486
-117.1,618.4541827
-125.9,618.7899898
-135.5,621.2022318
-143.6,618.9456273
-152.4,616.5234518
-161.3,606.6144413
-171.9,604.5381911
-189,604.2697533
-196,604.922925
-204.7,609.9353329
-213.3,612.5954382
-221.7,613.2759485
-230.7,609.4250873
-256.2,621.2943142
-264.9,629.7164682
-273.8,630.4707981
-281.6,633.1857139
-292.5,629.1985764
-298.9,629.9398924
-307,614.3665744
-316.7,609.1975192
-324.3,606.3656244
-332.5,605.5098062
-341.6,601.6181325
-351.2,604.5083254
-358.2,608.2727325
-366.2,613.3371805
-375.4,615.5911021
-385.6,621.2207158
-392.8,618.1049958
-401.3,618.0479289
-409.8,618.9163202
-418.2,620.0198545
-435.6,617.3550641
-444.7,608.8019364
-454.4,608.2331473
-462.6,610.8582142
-471.5,606.3044359
-480.6,603.1100056
-489.6,599.7762501
-498.4,601.8353315
-507.9,603.9531701
-516.1,604.6843495
-525.5,602.743814
-533.9,602.7733731
-543,603.4741825
-551.9,605.8277431
-560.8,602.3461813
-569.6,595.0324906
-578.5,593.0222187
-587.3,587.9980443
-596,593.3845828
-605,595.5299626
-613.9,593.7844974
-622.7,592.6490128
-633.3,593.7839996
-640.9,598.6068926
-649.1,604.0957686
-659.2,602.5643693
-667,601.4143532
-678.1,604.4039993
-694.8,605.7807016
-702.8,608.7396068
-712.2,611.9450597
-720.9,606.7391119
-730.2,596.2396591
-740.4,594.7142672
-748.5,593.018088
-762.9,593.8887218
-765.8,594.4852729
-791.2,599.0787419
-809.8,609.8677012
-828.8,600.1598279
-849.3,604.0278519
-868.4,604.1315943
-886,598.2637805
-924.3,588.4479587
-943.2,582.1502097
-985.2,594.9602695
-1000.2,599.5981799
-1021.2,602.1750645
-1038.6,591.2614415
-1060.1,587.1211304
-1078.1,585.4314592
-1098,586.7717261
-1116.8,586.6514481
-1136.4,584.7371234
-1174.4,592.7164657
-1189,596.2961253
-1214,596.0452007
-1231.9,593.9543791
-1242.7,597.8381196
-1272.9,591.4490746
-1291.6,585.4180656
-1310,581.2658132
-1329.3,584.0545973
-1367.6,602.9940797
-1390.8,593.6913715
-1407.5,595.6585314
-1426.8,586.8312913
-1452.6,588.716234
-1468.5,586.1784114
-1487,577.2851763
-1503.3,569.2439708
-1563.3,593.6315026
-1580,582.9372035
-1598.4,583.7561235
-1615.5,575.8357383
-1638.2,576.3899345
-1651.5,569.2750355
-1657.3,574.605737
-1677.5,576.8204305
-1693.7,588.4609187
-1713.4,605.9552799
-1752.6,587.2078695
-1770.9,584.5691663
-1789.8,579.2733561
-1811.6,580.3032576
-1830.3,586.4900488
-1850.2,594.4622064
-1867.6,595.198195
-1908.5,604.7200076
-1943,607.3794785
-1965.8,595.6508145
-1982.7,598.4006828
-2004.8,600.3224142
-2019.9,592.8067544
-2045.1,590.6323121
-2061.6,574.5315022
-2084.8,579.8877206
-2151.3,577.3626629
-2170.3,575.7464564
-2191.8,570.1108107
-2245.2,571.0598515
-2260.8,576.4358582
-2294.4,575.3426154
-2319,583.6498274
-2341.7,585.7722811
-2362.4,581.4849554
-2378,579.7548479
-2416.7,573.3923851
-2443.3,583.5663633
-2463.7,584.0427639
-2484,584.3738463
-2507.1,595.0322586
-2550.1,564.7657343
-2568.9,576.7835333
-2609.5,581.9871805
-2662.2,576.6316915
-2703,574.0029497
-2764.4,578.261521